@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2021/11/23 11:23:54:835',1,0.132813,0.202778,0.92574,0.043326,0.297998
2,'2021/11/23 11:23:55:094',1,0.14375,0.221296,0.92574,0.043326,0.297998
3,'2021/11/23 11:23:55:114',1,0.154687,0.243519,0.92574,0.043326,0.297998
4,'2021/11/23 11:23:55:134',1,0.167187,0.266667,0.92574,0.043326,0.297998
5,'2021/11/23 11:23:55:169',1,0.185937,0.276852,0.92574,0.043326,0.297998
6,'2021/11/23 11:23:55:175',1,0.190625,0.275926,0.92574,0.043326,0.297998
7,'2021/11/23 11:23:55:204',1,0.201042,0.236111,0.92574,0.043326,0.297998
8,'2021/11/23 11:23:55:214',1,0.201042,0.214815,0.92574,0.043326,0.297998
9,'2021/11/23 11:23:55:244',1,0.177604,0.121296,0.92574,0.043326,0.297998
10,'2021/11/23 11:23:55:268',1,0.14375,0.078704,0.92574,0.043326,0.297998
11,'2021/11/23 11:23:55:274',1,0.131771,0.073148,0.92574,0.043326,0.297998
12,'2021/11/23 11:23:55:301',1,0.093229,0.075,0.92574,0.043326,0.297998
13,'2021/11/23 11:23:55:314',1,0.070833,0.098148,0.92574,0.043326,0.297998
14,'2021/11/23 11:23:55:340',1,0.057292,0.153704,0.92574,0.043326,0.297998
15,'2021/11/23 11:23:55:366',1,0.070833,0.263889,0.92574,0.043326,0.297998
16,'2021/11/23 11:23:55:374',1,0.082292,0.300926,0.92574,0.043326,0.297998
17,'2021/11/23 11:23:55:405',1,0.121354,0.384259,0.92574,0.043326,0.297998
18,'2021/11/23 11:23:55:416',1,0.132813,0.398148,0.92574,0.043326,0.297998
19,'2021/11/23 11:23:55:442',1,0.171354,0.412963,0.92574,0.043326,0.297998
20,'2021/11/23 11:23:55:467',1,0.195833,0.342593,0.92574,0.043326,0.297998
21,'2021/11/23 11:23:55:474',1,0.196354,0.325926,0.92574,0.043326,0.297998
22,'2021/11/23 11:23:55:504',1,0.185937,0.206481,0.92574,0.043326,0.297998
23,'2021/11/23 11:23:55:514',1,0.181771,0.198148,0.92574,0.043326,0.297998
24,'2021/11/23 11:23:55:539',1,0.160417,0.162963,0.92574,0.043326,0.297998
25,'2021/11/23 11:23:55:567',1,0.138542,0.161111,0.92574,0.043326,0.297998
26,'2021/11/23 11:23:55:574',1,0.135937,0.166667,0.92574,0.043326,0.297998
27,'2021/11/23 11:23:55:606',1,0.134375,0.203704,0.92574,0.043326,0.297998
28,'2021/11/23 11:23:55:614',1,0.146875,0.236111,0.92574,0.043326,0.297998
29,'2021/11/23 11:23:55:643',1,0.170833,0.268519,0.92574,0.043326,0.297998
30,'2021/11/23 11:23:55:672',1,0.202083,0.274074,0.92574,0.043326,0.297998
31,'2021/11/23 11:23:55:700',1,0.2125,0.226852,0.92574,0.043326,0.297998
32,'2021/11/23 11:23:55:714',1,0.208333,0.181481,0.92574,0.043326,0.297998
33,'2021/11/23 11:23:55:742',1,0.195313,0.153704,0.92574,0.043326,0.297998
34,'2021/11/23 11:23:55:769',1,0.182812,0.142593,0.92574,0.043326,0.297998
35,'2021/11/23 11:23:55:774',1,0.182812,0.149074,0.92574,0.043326,0.297998
36,'2021/11/23 11:23:55:805',1,0.192188,0.2,0.92574,0.043326,0.297998
37,'2021/11/23 11:23:55:814',1,0.197396,0.213889,0.92574,0.043326,0.297998
38,'2021/11/23 11:23:55:845',1,0.213021,0.233333,0.92574,0.043326,0.297998
39,'2021/11/23 11:23:55:867',1,0.216667,0.231481,0.92574,0.043326,0.297998
40,'2021/11/23 11:23:55:874',1,0.216667,0.22037,0.92574,0.043326,0.297998
41,'2021/11/23 11:23:55:905',1,0.1625,0.130556,0.92574,0.043326,0.297998
42,'2021/11/23 11:23:55:914',1,0.140625,0.115741,0.92574,0.043326,0.297998
43,'2021/11/23 11:23:55:944',1,0.078125,0.112037,0.92574,0.043326,0.297998
